server_name,server_url,server_description,auth_type,maturity,compatability,tool_name,tool_description,example_queries,capability_tags,embedded_text
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_tables,Lists all tables within the specified schemas.,"query1: List all tables in the public schema of my shop-prod project
query2: Show me all tables in the analytics and events schemas and give a short description based on their names
query3:  Retrieve a list of every table in the database and mark which ones don’t have a primary key","schema-surface-mapping

relational-structure-enumeration

database-topology-overview","{
    ""server_name"": ""supabase"",
    ""purpose"": ""List database tables in specified schemas for a Supabase project"",
    ""tool"": ""list_tables"",
    ""features"": [
      ""table enumeration by schema"",
      ""multi-schema listing"",
      ""basic structural insights""
    ],
    ""use_cases"": [
      ""see all tables in a given schema like public"",
      ""review tables across multiple schemas such as analytics or events"",
      ""identify tables missing primary keys""
    ],
    ""examples"": [
      ""List all tables in the public schema of my shop-prod project"",
      ""Show me all tables in the analytics and events schemas and give a short description based on their names"",
      ""Retrieve a list of every table in the database and mark which ones don’t have a primary key""
    ],
    ""tags"": [
      ""schema-surface-mapping"",
      ""relational-structure-enumeration"",
      ""database-topology-overview""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_extensions,Lists all extensions in the database.,"query1: List all PostgreSQL extensions currently enabled in my Supabase database
query2: Show which extensions are available but not yet enabled, especially for full-text search or vector search
query3: List extensions and highlight anything related to pgvector or analytics that I might want to enable","database-capability-discovery

extension-ecosystem-introspection

postgres-feature-inventory","{
    ""server_name"": ""supabase"",
    ""purpose"": ""List all PostgreSQL extensions in a Supabase database"",
    ""tool"": ""list_extensions"",
    ""features"": [
      ""enabled extension listing"",
      ""available extension discovery"",
      ""feature-focused filtering (e.g. vector search)""
    ],
    ""use_cases"": [
      ""see which extensions are currently enabled"",
      ""discover optional extensions like full-text or vector search"",
      ""identify analytics or pgvector-related extensions to enable""
    ],
    ""examples"": [
      ""List all PostgreSQL extensions currently enabled in my Supabase database"",
      ""Show which extensions are available but not yet enabled, especially for full-text search or vector search"",
      ""List extensions and highlight anything related to pgvector or analytics that I might want to enable""
    ],
    ""tags"": [
      ""database-capability-discovery"",
      ""extension-ecosystem-introspection"",
      ""postgres-feature-inventory""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_migrations,Lists all migrations in the database.,"query1: List all database migrations that have been applied to my shop-prod project, ordered by time
query2:  Show me the last 10 migrations and whether any of them failed or were rolled back
query3: Retrieve the full migration history for this database and identify the first migration that added the orders table.","schema-evolution-history

migration-lineage-reconstruction

versioning-audit-scan","{
    ""server_name"": ""supabase"",
    ""purpose"": ""List all database migrations that have been applied"",
    ""tool"": ""list_migrations"",
    ""features"": [
      ""migration history retrieval"",
      ""status and ordering of migrations"",
      ""change tracking over time""
    ],
    ""use_cases"": [
      ""view full migration history for a project"",
      ""inspect the most recent migrations and their success state"",
      ""identify migrations that introduced specific tables or changes""
    ],
    ""examples"": [
      ""List all database migrations that have been applied to my shop-prod project, ordered by time"",
      ""Show me the last 10 migrations and whether any of them failed or were rolled back"",
      ""Retrieve the full migration history for this database and identify the first migration that added the orders table.""
    ],
    ""tags"": [
      ""schema-evolution-history"",
      ""migration-lineage-reconstruction"",
      ""versioning-audit-scan""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",apply_migration,"Applies a SQL migration to the database. SQL passed to this tool will be tracked within the database, so LLMs should use this for DDL operations (schema changes).","query1: Apply a migration that creates a new profiles table with id, user_id, and bio columns, and make sure it’s tracked as a schema change
query2: Run a migration to add an index on email in the users table, and record it as a proper DDL migration.
query3: Apply a migration that renames the customer table to customers and updates all relevant foreign keys","schema-transformation-commit

stateful-DDL-application

tracked-structural-change","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Apply tracked SQL migrations that modify the database schema"",
    ""tool"": ""apply_migration"",
    ""features"": [
      ""DDL-focused migration application"",
      ""schema change tracking"",
      ""index and constraint updates via migrations""
    ],
    ""use_cases"": [
      ""create new tables with tracked migrations"",
      ""add indexes via recorded DDL migrations"",
      ""rename tables and update foreign keys as part of migration history""
    ],
    ""examples"": [
      ""Apply a migration that creates a new profiles table with id, user_id, and bio columns, and make sure it’s tracked as a schema change"",
      ""Run a migration to add an index on email in the users table, and record it as a proper DDL migration."",
      ""Apply a migration that renames the customer table to customers and updates all relevant foreign keys""
    ],
    ""tags"": [
      ""schema-transformation-commit"",
      ""stateful-DDL-application"",
      ""tracked-structural-change""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",execute_sql,"Executes raw SQL in the database. LLMs should use this for regular queries that don't change the schema.
","query1: Run a SQL query to select the last 50 rows from the orders table sorted by created_at descending
query2: Execute a SQL query that counts how many users signed up in the last 7 days
query3: Run a query to fetch all failed payment attempts from the payments table where status = 'failed' and group by error code","freeform-query-execution

transactional-data-interaction

operational-readwrite-path","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Execute raw SQL queries for data access and manipulation without schema changes"",
    ""tool"": ""execute_sql"",
    ""features"": [
      ""read and write data operations"",
      ""arbitrary query execution"",
      ""aggregation and filtering support""
    ],
    ""use_cases"": [
      ""inspect recent rows in transactional tables"",
      ""run analytics queries such as counts over time windows"",
      ""fetch and segment failed operations like payment errors""
    ],
    ""examples"": [
      ""Run a SQL query to select the last 50 rows from the orders table sorted by created_at descending"",
      ""Execute a SQL query that counts how many users signed up in the last 7 days"",
      ""Run a query to fetch all failed payment attempts from the payments table where status = 'failed' and group by error code""
    ],
    ""tags"": [
      ""freeform-query-execution"",
      ""transactional-data-interaction"",
      ""operational-readwrite-path""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_logs,"Gets logs for a Supabase project by service type (api, postgres, edge functions, auth, storage, realtime). LLMs can use this to help with debugging and monitoring service performance.","query1: Fetch API logs for the shop-prod project for the last hour and summarize any 5xx errors
query2: Retrieve Postgres logs for the last 24 hours and highlight slow queries over 1 second.
query3: Get storage service logs for my project and tell me if there were any frequent permission errors.","cross-service-observability

runtime-diagnostics-aggregation

operational-telemetry-access"," {
    ""server_name"": ""supabase"",
    ""purpose"": ""Retrieve service logs for Supabase projects to support debugging and monitoring"",
    ""tool"": ""get_logs"",
    ""features"": [
      ""multi-service log access (API, Postgres, storage, etc.)"",
      ""time-range based retrieval"",
      ""error and performance surfacing""
    ],
    ""use_cases"": [
      ""summarize recent API errors in production"",
      ""inspect slow Postgres queries over a timeframe"",
      ""review storage permission issues from logs""
    ],
    ""examples"": [
      ""Fetch API logs for the shop-prod project for the last hour and summarize any 5xx errors"",
      ""Retrieve Postgres logs for the last 24 hours and highlight slow queries over 1 second."",
      ""Get storage service logs for my project and tell me if there were any frequent permission errors.""
    ],
    ""tags"": [
      ""cross-service-observability"",
      ""runtime-diagnostics-aggregation"",
      ""operational-telemetry-access""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_advisors,Gets a list of advisory notices for a Supabase project. LLMs can use this to check for security vulnerabilities or performance issues.,"query1: Check this project for any advisory notices related to security or misconfiguration.
query2: Fetch advisor recommendations and tell me if there are any warnings about missing indexes or performance issues
query3: Get a list of advisory notices and prioritize anything marked as a potential security vulnerability","health-and-security-insights

automated-risk-intelligence

performance-anomaly-detection","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Get advisory notices for a Supabase project about health, security, and performance"",
    ""tool"": ""get_advisors"",
    ""features"": [
      ""advisor recommendation retrieval"",
      ""security and misconfiguration checks"",
      ""performance and indexing hints""
    ],
    ""use_cases"": [
      ""check a project for security-related advisories"",
      ""identify missing indexes or performance issues"",
      ""prioritize potential vulnerabilities and risks""
    ],
    ""examples"": [
      ""Check this project for any advisory notices related to security or misconfiguration."",
      ""Fetch advisor recommendations and tell me if there are any warnings about missing indexes or performance issues"",
      ""Get a list of advisory notices and prioritize anything marked as a potential security vulnerability""
    ],
    ""tags"": [
      ""health-and-security-insights"",
      ""automated-risk-intelligence"",
      ""performance-anomaly-detection""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",get_publishable_keys,"Gets the anonymous API keys for a project. Returns an array of client-safe API keys including legacy anon keys and modern publishable keys. Publishable keys are recommended for new applications.
","query1: Retrieve all publishable (anon) API keys for the shop-prod project so I can use them in my frontend.
query2: List all client-safe keys for this project and indicate which ones are legacy anon keys vs modern publishable keys
query3: Get the current anon / publishable keys and tell me which one I should use for a new React app.","client-access-credential-retrieval

application-integration-secrets

public-auth-surface-exposure","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Retrieve client-safe publishable API keys for a Supabase project"",
    ""tool"": ""get_publishable_keys"",
    ""features"": [
      ""publishable key listing"",
      ""legacy vs modern key classification"",
      ""frontend-safe credential retrieval""
    ],
    ""use_cases"": [
      ""get anon/publishable keys for frontend use"",
      ""differentiate legacy anon keys from modern publishable ones"",
      ""pick the right key for new applications""
    ],
    ""examples"": [
      ""Retrieve all publishable (anon) API keys for the shop-prod project so I can use them in my frontend."",
      ""List all client-safe keys for this project and indicate which ones are legacy anon keys vs modern publishable keys"",
      ""Get the current anon / publishable keys and tell me which one I should use for a new React app.""
    ],
    ""tags"": [
      ""client-access-credential-retrieval"",
      ""application-integration-secrets"",
      ""public-auth-surface-exposure""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",generate_typescript_types,"Generates TypeScript types based on the database schema. LLMs can save this to a file and use it in their code.
","query1: Generate TypeScript types for the current database schema so I can use them in my Node.js backend
query2: Produce TypeScript types for all tables in the public schema and show me how to save them to a database.types.ts file
query3: Generate TS types for this Supabase project and highlight the interfaces related to the users and orders tables","schema-to-code-synthesis

type-safety-boilerplate-generation

developer-automation-utility"," {
    ""server_name"": ""supabase"",
    ""purpose"": ""Generate TypeScript types from the Supabase database schema"",
    ""tool"": ""generate_typescript_types"",
    ""features"": [
      ""schema introspection to types"",
      ""TypeScript interface generation"",
      ""developer-ready output""
    ],
    ""use_cases"": [
      ""produce TS types for backend or frontend projects"",
      ""generate types for all tables in a schema"",
      ""highlight key interfaces like users or orders for type-safe access""
    ],
    ""examples"": [
      ""Generate TypeScript types for the current database schema so I can use them in my Node.js backend"",
      ""Produce TypeScript types for all tables in the public schema and show me how to save them to a database.types.ts file"",
      ""Generate TS types for this Supabase project and highlight the interfaces related to the users and orders tables""
    ],
    ""tags"": [
      ""schema-to-code-synthesis"",
      ""type-safety-boilerplate-generation"",
      ""developer-automation-utility""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",create_branch,Creates a development branch with migrations from production branch.,"query1: Create a new development branch from my production database called feature-add-discounts. 
query2: Spin up a branch named migration-test so I can safely test schema changes before touching prod
query3: Create a database branch for staging called staging-2025-q1 based on the current production state","environment-version-tree-view

branch-topology-enumeration

multi-track-development-mapping"," {
    ""server_name"": ""supabase"",
    ""purpose"": ""Create a new development database branch from production"",
    ""tool"": ""create_branch"",
    ""features"": [
      ""branch creation from production state"",
      ""migration-aware branching"",
      ""safe environment cloning for experiments""
    ],
    ""use_cases"": [
      ""create feature branches for schema work"",
      ""spin up safe environments to test migrations"",
      ""prepare staging branches based on production data""
    ],
    ""examples"": [
      ""Create a new development branch from my production database called feature-add-discounts."",
      ""Spin up a branch named migration-test so I can safely test schema changes before touching prod"",
      ""Create a database branch for staging called staging-2025-q1 based on the current production state""
    ],
    ""tags"": [
      ""environment-version-tree-view"",
      ""branch-topology-enumeration"",
      ""multi-track-development-mapping""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",list_branches,Lists all development branches.,"query1: List all branches for the shop-prod project and show which one is the primary/production branch.
query2: Show every development branch, when it was created, and whether it’s currently active.
query3: Fetch the list of branches and highlight any that haven’t been used in more than 30 days.","environment-version-tree-view

branch-topology-enumeration

multi-track-development-mapping","{
    ""server_name"": ""supabase"",
    ""purpose"": ""List all development branches for a Supabase project"",
    ""tool"": ""list_branches"",
    ""features"": [
      ""branch enumeration"",
      ""primary branch identification"",
      ""activity-based branch insights""
    ],
    ""use_cases"": [
      ""see all branches and identify production vs development"",
      ""inspect creation time and activity for each branch"",
      ""find stale branches unused for extended periods""
    ],
    ""examples"": [
      ""List all branches for the shop-prod project and show which one is the primary/production branch."",
      ""Show every development branch, when it was created, and whether it’s currently active."",
      ""Fetch the list of branches and highlight any that haven’t been used in more than 30 days.""
    ],
    ""tags"": [
      ""environment-version-tree-view"",
      ""branch-topology-enumeration"",
      ""multi-track-development-mapping""
    ]
  }"
supabase,https://github.com/supabase-community/supabase-mcp,"Connects directly to Supabase projects for managing databases, executing SQL queries, applying migrations, and handling configurations through natural language commands.",Oauth,stable,"cursor
claude_desktop
generic_mcp_client
openai_agents",delete_branch,Deletes a development branch.,"query1: Delete the development branch named feature-old-experiment that we no longer need
query2: Remove any temporary branch called migration-test after confirming it’s safe to clean up
query3: Find the oldest development branch that is not production and delete it to save resources","environment-version-pruning

destructive-snapshot-removal

cleanup-lifecycle-operation","{
    ""server_name"": ""supabase"",
    ""purpose"": ""Delete development branches that are no longer needed"",
    ""tool"": ""delete_branch"",
    ""features"": [
      ""branch deletion"",
      ""cleanup of temporary environments"",
      ""age and usage-based branch selection""
    ],
    ""use_cases"": [
      ""remove obsolete or experimental branches"",
      ""clean up temporary migration test branches"",
      ""delete the oldest non-production branch to free resources""
    ],
    ""examples"": [
      ""Delete the development branch named feature-old-experiment that we no longer need"",
      ""Remove any temporary branch called migration-test after confirming it’s safe to clean up"",
      ""Find the oldest development branch that is not production and delete it to save resources""
    ],
    ""tags"": [
      ""environment-version-pruning"",
      ""destructive-snapshot-removal"",
      ""cleanup-lifecycle-operation""
    ]
  }"
